dataset_fold_id,Accuracy__test_neural,Accuracy__test_non-neural,F1__test_neural,F1__test_non-neural,MSE__test_neural,MSE__test_non-neural,Log Loss__test_neural,Log Loss__test_non-neural,alg_name_neural,alg_name_non-neural,time__train_neural,time__train_non-neural,time__test_neural,time__test_non-neural
openml__socmob__3797__fold_0,0.9396551724137931,0.9310344827586208,0.9396551724137931,0.9310344827586208,,,0.1418157444728923,0.1276157798443221,rtdl_FTTransformer,CatBoost,7.70212737099996,0.2620104519999984,0.0686383300001125,0.0007089129999826
openml__socmob__3797__fold_1,0.896551724137931,0.9655172413793104,0.896551724137931,0.9655172413793104,,,0.3864499009191932,0.118054026734776,TabNet,CatBoost,26.535296660999848,0.5567161569999826,0.0133476259998133,0.0008299249999765
openml__socmob__3797__fold_2,0.9396551724137931,0.9310344827586208,0.9396551724137931,0.9310344827586208,,,0.1710263597148088,0.1120694599146939,SAINT,XGBoost,35.657979063999846,0.1261822549999998,0.0580308970002079,0.0005799540000008
openml__socmob__3797__fold_3,0.9310344827586208,0.9396551724137931,0.9310344827586208,0.9396551724137931,,,0.3392310492662514,0.165330686869032,SAINT,LightGBM,29.41915882000012,0.0235878739999986,0.066496986999482,0.0002036119999999
openml__socmob__3797__fold_4,0.9310344827586208,0.9051724137931034,0.9310344827586208,0.9051724137931036,,,0.2369901304746123,1.3178491796693073,rtdl_MLP,LightGBM,6.465967775000081,0.026852496,0.0493367440001293,0.0002423779999993
openml__socmob__3797__fold_5,0.9741379310344828,0.9310344827586208,0.9741379310344828,0.9310344827586208,,,0.0680096909292905,0.6624480301424983,rtdl_FTTransformer,DecisionTree,11.623596081999947,0.0013194009999999,0.0526991419999376,0.0001246530000003
openml__socmob__3797__fold_6,0.9478260869565216,0.9565217391304348,0.9478260869565216,0.9565217391304348,,,0.1069541110626612,0.0884565840422747,rtdl_MLP,XGBoost,4.219087417000004,0.1743355650000007,0.040089137999999,0.0005822909999997
openml__socmob__3797__fold_7,0.9565217391304348,0.9652173913043478,0.9565217391304348,0.9652173913043478,,,0.201491508655003,0.1046251383397485,rtdl_ResNet,XGBoost,10.800979955000004,0.1348816780000064,0.0591098579998288,0.0005294110000022
openml__socmob__3797__fold_8,0.9652173913043478,0.9739130434782608,0.9652173913043478,0.9739130434782608,,,0.0810987907389176,0.0609529787672687,rtdl_MLP,XGBoost,3.5818103639999777,0.2062244500000005,0.0475096920000055,0.0479720949999986
openml__socmob__3797__fold_9,0.9478260869565216,0.9391304347826088,0.9478260869565216,0.9391304347826088,,,0.1684885577045624,0.1709685761153296,SAINT,LightGBM,45.6323181709995,0.0717264379999989,0.0772258469996813,0.0002373549999994
openml__solar-flare__2068__fold_0,0.9906542056074766,1.0,0.9953051643192488,1.0,,,0.0166120341012378,0.000636297373013,TabNet,LightGBM,9.779980963000073,0.0597766369999988,0.0148406630000863,0.0003007860000003
openml__solar-flare__2068__fold_1,1.0,0.9906542056074766,1.0,0.9921896915740208,,,0.0,0.0226507415138573,TabNet,LightGBM,8.98112872799993,0.0665017439999999,0.0129832650000025,0.0003110859999999
openml__solar-flare__2068__fold_2,0.9813084112149532,0.9906542056074766,0.9813084112149532,0.9860032468957044,,,0.6547116704076313,0.3233195420718811,TabNet,LightGBM,7.11233763700011,0.0154750079999992,0.012913903000026,0.0002086169999984
openml__solar-flare__2068__fold_3,0.9906542056074766,0.9906542056074766,0.9860032468957044,0.9860032468957044,,,0.1040504859930954,0.3237635886567558,TabNet,RandomForest,8.35505815400029,0.0159082210000001,0.0104478240000389,0.0044468509999999
